Họ và tên,Tuổi,Chiều cao (cm),Cân nặng (kg),Vị trí thi đấu,Quốc tịch,Chỉ số tổng thể,Tiềm năng phát triển,Giá trị chuyển nhượng (euro),Lương (euro)
J. Henderson,28,182.88,79.8,"CDM,CM",England,82,82,18000000,125000
N. GaitÃ¡n,31,172.72,66.2,CAM,Argentina,82,82,21000000,22000
M. ArnautoviÄ‡,29,193.04,83,ST,Austria,82,82,22000000,120000
S. Giovinco,32,162.56,60.8,"CF,ST",Italy,82,82,20000000,61000
G. SigurÃ°sson,29,185.42,77.1,CAM,Iceland,82,82,22500000,125000
Giuliano,28,172.72,68,"CAM,RW",Brazil,82,82,22500000,59000
P. GulÃ¡csi,28,193.04,86.2,GK,Hungary,82,83,18000000,53000
Luiz Gustavo,31,187.96,78,"CDM,CB",Brazil,82,82,16500000,57000
K. Trippier,28,152.4,72.1,"RB,RWB",England,82,82,18500000,99000
A. Ramsey,28,182.88,76.2,"CM,CDM,CAM",Wales,82,82,23000000,130000
M. Balotelli,28,187.96,88,ST,Italy,82,82,23500000,68000
Marlos,30,175.26,68.9,RM,Ukraine,82,82,21000000,1000
Taison,31,172.72,64,"LM,CAM",Brazil,82,82,21000000,1000
G. Bonaventura,29,154.94,74.8,"CM,LW",Italy,82,82,22000000,115000
G. Kondogbia,26,187.96,79.8,"CM,CDM",Central African Rep.,81,84,22000000,43000
J. Roussillon,26,175.26,79.8,"LB,LWB,LM",France,81,83,18000000,50000
S. Zaza,27,185.42,83.9,ST,Italy,81,82,21000000,48000
S. Vrsaljko,27,154.94,76.2,RB,Croatia,81,81,15000000,57000
C. Kramer,28,190.5,76.2,"CDM,CM",Germany,81,82,17000000,35000
B. Mendy,24,185.42,84.8,LB,France,81,86,20000000,105000
M. Sabitzer,24,152.4,77.1,"CAM,CM",Austria,81,84,22500000,54000
M. NastasiÄ‡,25,187.96,83,CB,Serbia,81,84,18500000,36000
A. Plea,25,154.94,78.9,"ST,LW",France,81,83,22000000,40000
M. Ginter,25,187.96,83,"CB,CDM",Germany,81,83,18500000,30000
Gerard Moreno,26,154.94,77.1,ST,Spain,81,83,22000000,45000
A. DoucourÃ©,26,182.88,76.2,"CDM,CM",France,81,85,19500000,60000
R. Guerreiro,25,170.18,71.2,"LM,LB,CM",Portugal,81,84,22500000,54000
Ricardo Pereira,25,175.26,69.9,"RB,RM",Portugal,81,84,18500000,64000
Samu Castillejo,24,182.88,67.1,"RM,LM,CM",Spain,81,85,23000000,86000
J. Brandt,22,185.42,83.9,"LM,RM,CAM",Germany,81,88,25000000,63000
N. PÃ©pÃ©,23,182.88,73,"RM,RW,ST",Ivory Coast,80,88,22000000,35000
S. Bergwijn,21,152.4,78,"LW,RW",Netherlands,80,86,20500000,18000
A. Onana,22,187.96,93,GK,Cameroon,80,85,14500000,14000
F. Balbuena,27,187.96,84.8,CB,Paraguay,80,83,15500000,80000
AndrÃ© Silva,23,185.42,78.9,ST,Portugal,80,87,21000000,89000
Oyarzabal,21,154.94,78,"LW,LM,RW",Spain,80,87,21000000,29000
Everton AndrÃ£o,35,152.4,74.8,"CDM,CM",Brazil,80,80,4500000,34000
Welington Dano,31,152.4,68.9,"LB,LM",Brazil,80,80,10500000,34000
Richarlison,21,154.94,71.2,"ST,LW,LM",Brazil,80,86,21000000,84000
Odriozola,23,175.26,66.2,RB,Spain,80,88,18500000,115000
Carlos Soler,22,154.94,76.2,"RM,CM",Spain,80,87,21000000,31000
H. Aouar,20,175.26,69.9,"CM,LM",France,80,90,23500000,51000
T. Ndombele,22,154.94,76.2,"CM,CDM",France,80,89,22500000,51000
M. GÃ³mez,22,185.42,83.9,ST,Uruguay,80,85,20500000,25000
JoaquÃ­n,37,152.4,74.8,"LM,ST,RM",Spain,81,81,6000000,24000
J. Mathieu,35,187.96,83.9,CB,France,81,81,5500000,18000
J. Matip,27,193.04,89.8,CB,Cameroon,80,82,15000000,99000
S. Aurier,26,175.26,76.2,"RB,RWB",Ivory Coast,80,83,15500000,82000
J. Guilavogui,28,187.96,77.1,"CDM,CM",France,80,81,14000000,49000
A. Oxlade-Chamberlain,25,175.26,69.9,"CM,RM",England,80,85,19500000,94000
M. Ryan,26,182.88,82.1,GK,Australia,80,83,13000000,43000
V. Aboubakar,27,182.88,82.1,ST,Cameroon,80,81,17500000,19000
L. Muriel,27,152.4,78.9,ST,Colombia,80,81,17500000,24000
D. Vida,29,182.88,76.2,"CB,RB",Croatia,80,80,11500000,55000
Ibai GÃ³mez,29,152.4,72.1,"RM,RW,LM",Spain,80,80,15000000,31000
Cristian Tello,27,152.4,64.9,"LM,RM",Spain,80,80,16000000,30000
Ismaily,29,152.4,82.1,LB,Brazil,80,80,11500000,1000
A. Mandi,27,182.88,78,CB,Algeria,80,83,15500000,27000
C. TÄƒtÄƒruÅŸanu,33,195.58,86.2,GK,Romania,80,80,8500000,25000
J. Murillo,26,182.88,78,CB,Colombia,80,84,16000000,38000
E. Dier,25,187.96,89.8,"CDM,CB,CM",England,80,84,16500000,73000
J. Butland,25,195.58,94.8,GK,England,80,85,14000000,39000
S. Sorrentino,39,185.42,84.8,GK,Italy,80,80,1000000,10000
W. Rooney,33,175.26,83,ST,England,80,80,12000000,13000
MoyÃ¡,34,187.96,83,GK,Spain,80,80,6000000,26000
L. LÃ³pez,36,175.26,72.1,ST,Argentina,80,80,7000000,23000
J. Mascherano,34,175.26,73,"CDM,CB",Argentina,80,80,4500000,20000
Raffael,33,175.26,68.9,"CF,ST",Brazil,80,80,9500000,39000
Diego LÃ³pez,37,195.58,88.9,GK,Spain,80,80,2000000,17000
Juanfran,34,154.94,71.2,RB,Spain,80,80,5500000,53000
I. Denisov,34,175.26,69.9,CDM,Russia,80,80,4500000,1000
I. Akinfeev,32,185.42,78,GK,Russia,80,80,8500000,1000
A. Gignac,33,187.96,91.2,ST,France,80,80,12000000,70000
A. Granqvist,33,193.04,83.9,CB,Sweden,80,80,,
Manuel Fernandes,33,175.26,74.8,"LM,CAM",Portugal,80,80,11500000,1000
Dante,35,187.96,84.8,CB,Brazil,80,80,4500000,37000
L. Perrin,33,154.94,79.8,CB,France,80,80,8500000,37000
Borja Valero,34,175.26,73,"CAM,CDM",Spain,80,80,9000000,69000
A. Januzaj,24,185.42,76.2,"RW,RM",Belgium,79,85,17500000,32000
J. Hector,28,185.42,74.8,"LB,CDM",Germany,79,79,10000000,26000
M. Dabbur,26,182.88,76.2,ST,Israel,79,81,15500000,47000
Ã“liver Torres,24,175.26,63,CM,Spain,79,84,16500000,15000
Y. Bounou,27,193.04,78,GK,Morocco,79,82,10500000,26000
J. Hofmann,26,175.26,69.9,"CAM,RM,LM",Germany,79,80,15000000,32000
OtÃ¡vio,24,172.72,71.2,"RM,CAM,CM",Brazil,79,85,17500000,15000
Jonny,25,170.18,69.9,LWB,Spain,79,83,13500000,59000
L. Dendoncker,23,187.96,88,"CDM,CB,CM",Belgium,79,85,14500000,20000
R. Zobnin,25,182.88,74.8,"CDM,CM,LM",Russia,79,86,15000000,1000
Ricardo Horta,24,172.72,63,LM,Portugal,79,84,17000000,16000
Thiago Mendes,26,152.4,79.8,"CDM,CM,RM",Brazil,79,83,13500000,35000
J. Lerma,24,152.4,69.9,"CDM,CM",Colombia,79,83,14000000,55000
J. Gbamin,23,185.42,83,"CDM,CM,CB",Ivory Coast,79,84,14500000,26000
I. Marcone,28,182.88,83,CDM,Argentina,79,80,11500000,27000
D. Benedetto,28,152.4,79.8,ST,Argentina,79,79,13000000,32000
M. Hitz,31,193.04,88.9,GK,Switzerland,79,79,8000000,41000
N. Clyne,27,175.26,67.1,RB,England,79,80,11500000,94000
A. LjajiÄ‡,27,182.88,73.9,"CAM,LW",Serbia,79,80,15000000,49000
J. GuÃ°mundsson,28,152.4,77.1,"RM,LM",Iceland,79,79,13000000,61000
Elkeson,29,154.94,77.1,"ST,CAM",Brazil,79,79,13000000,25000
Kike GarcÃ­a,29,185.42,78.9,ST,Spain,79,79,13000000,32000
Escudero,29,175.26,72.1,"LB,LM",Spain,79,79,10000000,20000
HerrerÃ­n,31,187.96,94.8,GK,Spain,79,79,8000000,21000
VÃ­ctor Ruiz,30,185.42,78,CB,Spain,79,79,10000000,35000
G. Medel,31,170.18,64.9,"CDM,CB",Chile,79,79,9500000,50000
Y. Belhanda,29,152.4,74.8,"CAM,LW",Morocco,79,79,12500000,65000
Hugo Mallo,27,175.26,72.1,RB,Spain,79,79,10500000,26000
Borja GarcÃ­a,28,175.26,72.1,"LM,CM",Spain,79,79,13000000,35000
W. Khazri,28,175.26,82.1,"ST,CF,CAM,LM",Tunisia,79,79,13500000,41000
P. Jones,27,185.42,71.2,CB,England,79,80,12000000,110000
A. Finnbogason,30,182.88,79.8,ST,Iceland,79,79,12500000,35000
VinÃ­cius JÃºnior,18,175.26,73,"LW,RW",Brazil,78,92,20500000,70000
Junior Firpo,22,182.88,74.8,"LWB,LB,CB,LM",Spain,78,85,12500000,17000
E. BelÃ¶zoÄŸlu,38,170.18,72.1,"CM,CDM",Turkey,79,79,4000000,23000
Fernando Torres,34,185.42,78.9,ST,Spain,79,79,6500000,9000
B. Schweinsteiger,34,182.88,78.9,"CDM,CB,CM",Germany,79,79,5000000,10000
B. YÄ±lmaz,33,187.96,77.1,ST,Turkey,79,79,10000000,59000
M. GÃ³mez,33,187.96,88.9,ST,Germany,79,79,10000000,44000
A. Young,33,175.26,64.9,"RB,LB",England,79,79,7000000,110000
R. Babel,32,185.42,84.8,LW,Netherlands,79,79,11000000,70000
B. Costil,31,187.96,88,GK,France,79,79,8000000,35000
S. Kalou,33,182.88,77.1,"LM,ST,RM",Ivory Coast,79,79,10000000,34000
E. Lavezzi,33,172.72,74.8,"ST,CAM",Argentina,79,79,8000000,22000
H. Ben Arfa,32,152.4,73.9,"CAM,ST",France,79,79,11000000,38000
B. Foster,35,193.04,89.8,GK,England,79,79,3000000,29000
T. Heaton,32,187.96,92.1,GK,England,79,79,7000000,45000
Charles,34,152.4,74.8,ST,Brazil,79,79,6500000,31000
G. Cahill,33,193.04,88,CB,England,79,79,7000000,94000
A. Iwobi,22,185.42,74.8,"LM,RM,LW",Nigeria,78,84,14000000,81000
R. Loftus-Cheek,23,190.5,88,"CM,LM",England,78,85,14500000,81000
A. Selikhov,24,187.96,84.8,GK,Russia,78,82,9500000,1000
J. Mojica,26,185.42,73,"LWB,LM,LB",Colombia,78,81,10500000,28000
W. Barrios,25,152.4,71.2,"CDM,CM",Colombia,78,83,,
C. Izquierdoz,30,185.42,88.9,CB,Argentina,78,78,8000000,25000
W. BenÃ­tez,26,190.5,91.2,GK,Argentina,78,82,9500000,24000
N. MaksimoviÄ‡,27,193.04,87.1,CB,Serbia,78,81,11000000,54000
A. MitroviÄ‡,24,187.96,82.1,ST,Serbia,78,83,14000000,55000
M. Sportiello,26,193.04,87.1,GK,Italy,78,80,8500000,22000
Capa,26,175.26,74.8,RB,Spain,78,81,10500000,23000
Marcelo Goiano,31,175.26,68.9,"RB,LB",Brazil,78,78,7500000,15000
Y. Tielemans,21,175.26,72.1,"CM,CDM",Belgium,78,87,16000000,47000
S. Lobotka,24,170.18,64,"CM,CDM",Slovakia,78,84,14000000,22000
M. Philipp,25,182.88,78.9,"ST,CF,LM,CAM",Germany,78,83,14000000,48000
L. Dubois,24,152.4,73,"RB,RWB",France,78,82,11000000,47000
L. Dunk,27,193.04,88,CB,England,78,81,11000000,46000
C. Schindler,28,187.96,77.1,CB,Germany,78,80,10000000,48000
Y. Konoplyanka,29,152.4,78,"LM,LW,ST",Ukraine,78,78,10500000,35000
Pedro Mendes,28,185.42,78,CB,Portugal,78,80,10000000,26000
R. Saponara,27,182.88,73,CAM,Italy,78,78,11000000,56000
L. Kurzawa,26,182.88,76.2,"LB,LWB",France,78,81,10500000,61000
M. Hinteregger,26,182.88,83,CB,Austria,78,80,10500000,24000
D. da Costa,25,187.96,88,"RWB,RB,RM",Germany,78,80,10500000,29000
Fernando,27,175.26,79.8,"CDM,CM",Brazil,78,80,10500000,1000
W. Boly,28,195.58,97.1,CB,France,78,80,10000000,62000
A. Schwolow,26,187.96,83.9,GK,Germany,78,79,8500000,20000
G. Defrel,27,152.4,77.1,"ST,RW",France,78,78,11000000,64000
Ãlvaro,29,182.88,74.8,CB,Spain,78,79,9500000,32000
L. Bittencourt,25,170.18,62.1,"CAM,CM,LM",Germany,78,81,13000000,32000
A. Carrillo,27,154.94,78,"RM,RW",Peru,78,78,11000000,14000
M. Elyounoussi,24,152.4,69.9,"LM,CAM,RM",Norway,78,83,14000000,44000
O. Karnezis,33,190.5,81.2,GK,Greece,78,78,6000000,44000
De Marcos,29,182.88,79.8,"RB,RW",Spain,78,78,8000000,25000
R. Cabella,29,170.18,71.2,CAM,France,78,78,10500000,36000
J. Hart,31,195.58,91.2,GK,England,78,78,6500000,41000
Jurado,32,175.26,72.1,"RM,CAM,LM",Spain,78,78,8000000,41000
E. HernÃ¡ndez,30,170.18,64.9,RM,Mexico,78,78,10000000,29000
D. Ginczek,27,190.5,84.8,ST,Germany,78,79,12000000,50000
Lucas PÃ©rez,30,154.94,73,"ST,RM",Spain,78,78,10500000,85000
J. FarfÃ¡n,34,152.4,83.9,"RM,ST",Peru,78,78,6500000,1000
A. BegoviÄ‡,31,198.12,83,GK,Bosnia Herzegovina,78,78,6500000,47000
Hilton,41,154.94,78,CB,Brazil,78,78,,18000
J. Baumgartlinger,31,182.88,86.2,CDM,Austria,78,78,7500000,53000
Granero,31,154.94,78,"CM,LM,RM",Spain,78,78,9500000,30000
Z. JunuzoviÄ‡,31,172.72,72.1,"CM,CAM,LM",Austria,78,78,9500000,39000
V. Moses,28,152.4,77.1,"RW,RWB",Nigeria,78,78,11000000,105000
M. Debuchy,33,175.26,76.2,RB,France,78,78,5500000,31000
G. MaripÃ¡n,24,193.04,83,CB,Chile,77,81,10000000,20000
IvÃ¡n CuÃ©llar,34,187.96,76.2,GK,Spain,77,77,3600000,22000
F. Johnson,31,182.88,73.9,"LM,RB",United States,77,77,8500000,29000
AarÃ³n MartÃ­n,21,154.94,72.1,LB,Spain,77,84,10500000,19000
G. Pereiro,23,187.96,76.2,"CAM,RW",Uruguay,77,82,12000000,15000
B. Moukandjo,30,154.94,73.9,"ST,RM",Cameroon,77,77,9000000,25000
M. Harnik,31,185.42,79.8,"ST,RM",Austria,77,77,8000000,31000
J. Ward-Prowse,24,172.72,66.2,"RM,CM",England,77,82,12000000,41000
R. Alessandrini,29,172.72,69.9,"RM,LM,RW,CAM",France,78,78,10000000,11000
Manu GarcÃ­a,32,182.88,73.9,"CDM,CM",Spain,78,78,6000000,24000
M. Antonio,28,152.4,82.1,"ST,RM,RWB,LM",England,78,78,10500000,85000
Adrien Silva,29,175.26,68.9,"CM,CDM",Portugal,78,78,10000000,68000
S. Cook,27,185.42,82.1,CB,England,78,78,8500000,58000
B. Mee,29,182.88,82.1,CB,England,78,78,8500000,53000
Adriano,34,172.72,74.8,"LB,RB",Brazil,78,78,4000000,45000
J. Lens,31,152.4,74.8,"RM,RW",Netherlands,78,78,10000000,50000
S. RondÃ³n,29,185.42,98,ST,Venezuela,77,77,9000000,41000
Andreas Pereira,23,152.4,71.2,"CM,CDM,RM",Brazil,77,82,11500000,86000
V. IbiÅ¡eviÄ‡,34,187.96,82.1,ST,Bosnia Herzegovina,77,77,5500000,31000
L. Ocampos,24,187.96,83.9,"LM,LW",Argentina,77,82,12000000,38000
N. MÃ¼ller,31,172.72,66.2,"RM,LM",Germany,77,77,8500000,34000
SimÃ£o Acunha,31,152.4,71.2,"CAM,ST,RM",Brazil,77,77,8500000,35000
J. Calleri,25,154.94,77.1,ST,Argentina,77,82,12000000,24000
A. Jahanbakhsh,25,154.94,78,RM,Iran,77,80,11500000,41000
A. PrijoviÄ‡,28,190.5,88,ST,Serbia,77,77,9000000,44000
Fabricio,31,182.88,79.8,GK,Spain,77,77,5500000,40000
M. Elneny,26,154.94,73.9,"CDM,CM",Egypt,77,79,9000000,76000
Jorge MerÃ©,21,182.88,79.8,CB,Spain,77,85,11500000,15000
Wilson Eduardo,28,152.4,73,"ST,CF",Portugal,77,77,9500000,17000
Ãlex Remiro,23,190.5,83,GK,Spain,77,82,8500000,15000
T. GutiÃ©rrez,33,152.4,81.2,"ST,CAM",Colombia,77,77,5500000,6000
A. Pyatov,34,190.5,89.8,GK,Ukraine,77,77,3600000,1000
Diego Llorente,25,185.42,74.8,CB,Spain,77,83,10500000,22000
I. Abate,32,154.94,73,RB,Italy,77,77,6000000,68000
T. Vermaelen,33,182.88,79.8,"CB,LB",Belgium,77,77,5000000,110000
N. FÃ¼llkrug,26,187.96,83,ST,Germany,77,78,10500000,36000
Pedro Obiang,26,185.42,74.8,"CDM,CM",Equatorial Guinea,77,79,9000000,65000
Wallace,24,190.5,84.8,CB,Brazil,77,81,10000000,35000
Djaniny,27,190.5,78,"ST,RW",Cape Verde,77,78,10500000,42000
Roberto,33,193.04,93.9,GK,Spain,77,77,5000000,21000
S. Tasci,31,185.42,81.2,CB,Germany,77,77,6000000,24000
L. SchÃ¸ne,32,152.4,78,"CM,CDM",Denmark,77,77,6500000,19000
J. Defoe,36,170.18,64.9,ST,England,77,77,4100000,49000
V. Babacan,30,193.04,86.2,GK,Turkey,77,78,7000000,21000
O. Ighalo,29,182.88,74.8,ST,Nigeria,77,77,9000000,20000
A. SchÃ¼rrle,28,182.88,71.2,"RW,LW",Germany,77,77,9500000,51000
E. Skhiri,23,185.42,68.9,"CDM,CM",Tunisia,77,81,10000000,21000
W. Anton,22,187.96,74.8,"CB,CDM",Germany,77,84,11000000,22000
R. Palacio,37,175.26,69.9,"ST,LW",Argentina,77,77,3200000,27000
K. Lasagna,26,185.42,79.8,ST,Italy,77,80,11500000,29000
D. Cvitanich,34,175.26,72.1,ST,Argentina,77,77,4700000,24000
S. De Maio,32,190.5,89.8,CB,France,77,77,6000000,30000
S. Terodde,31,193.04,83,ST,Germany,77,77,8500000,25000
J. De GuzmÃ¡n,31,175.26,73.9,"CM,CDM,CAM",Netherlands,77,77,8000000,34000
R. Civelli,35,195.58,88.9,CB,Argentina,77,77,2700000,16000
Pablo Maffeo,21,172.72,69.9,"RWB,RM",Spain,77,84,10500000,22000
CÃ©dric,27,172.72,67.1,"RB,RWB",Portugal,77,78,8500000,43000
K. Papadopoulos,27,185.42,87.1,CB,Greece,77,79,9000000,15000
A. Szymanowski,30,175.26,64.9,"LM,CM,LW",Argentina,77,77,8500000,31000
J. Kucka,32,185.42,83.9,"CM,CDM",Slovakia,77,77,7500000,42000
P. Jagielka,36,154.94,87.1,CB,England,77,77,2100000,53000
M. Benassi,24,182.88,79.8,CM,Italy,77,82,11500000,45000
P. Jansson,28,195.58,86.2,CB,Sweden,77,79,8500000,41000
B. Espinosa,29,193.04,83.9,CB,Colombia,77,77,7000000,29000
JosÃ© SÃ¡,26,193.04,84.8,GK,Portugal,77,82,8500000,1000
M. Sels,27,190.5,88,GK,Belgium,77,80,7500000,15000
Yuri Berchiche,29,154.94,79.8,LB,Spain,77,77,7000000,23000
R. BorrÃ©,23,175.26,71.2,ST,Colombia,77,83,12500000,23000
Paulinho,26,187.96,81.2,ST,Portugal,77,79,11000000,16000
C. Piccini,26,187.96,78.9,"RB,RWB",Italy,77,79,9000000,29000
B. AndrÃ©,28,154.94,76.2,"CM,CDM",France,77,77,9000000,32000
BarragÃ¡n,31,182.88,76.2,"RWB,RB,RM",Spain,77,77,6000000,22000
M. Samatta,26,182.88,79.8,ST,Tanzania,77,80,11500000,19000
I. Diop,22,193.04,92.1,CB,France,77,86,12000000,46000
M. Lowton,29,154.94,78,RB,England,77,77,6500000,50000
T. HernÃ¡ndez,21,182.88,82.1,LB,France,77,85,11000000,76000
Juanpe,27,190.5,84.8,CB,Spain,77,78,8500000,27000
K. Tete,23,154.94,71.2,"RB,RWB",Netherlands,77,82,10000000,44000
B. DÅ¾emaili,32,152.4,73,"CM,CAM",Switzerland,77,77,6500000,33000
AndrÃ© AndrÃ©,29,175.26,64.9,"CM,CDM",Portugal,77,77,9000000,13000
Balenziaga,31,152.4,76.2,LB,Spain,76,76,5500000,21000
V. Behrami,33,185.42,78,"CDM,CM",Switzerland,76,76,3100000,24000
D. Reyes,26,187.96,73.9,CB,Mexico,76,79,8000000,48000
Caiuby,30,182.88,84.8,"LM,LW,ST",Brazil,76,76,7500000,25000
S. Doumbia,31,152.4,71.2,ST,Ivory Coast,76,76,7500000,31000
JoÃ£o FÃ©lix,19,154.94,69.9,"CF,LW",Portugal,76,89,14000000,7000
L. LÃ³pez,29,190.5,82.1,CB,Argentina,76,76,6000000,12000
Mario SuÃ¡rez,32,187.96,79.8,"CM,CDM,CB",Spain,76,76,6500000,20000
J. LÃ¶ssl,30,195.58,88,GK,Denmark,76,77,6000000,34000
G. Castro,31,172.72,72.1,"CM,CDM",Germany,76,76,6500000,32000
M. Phillips,27,182.88,74.8,"CAM,CM,RW",Scotland,76,76,8000000,34000
Gabriel Boschilia,23,172.72,63,"CAM,LM,RW",Brazil,76,82,10500000,48000
Wu Lei,27,175.26,66.2,"ST,RW,LW,CF",China PR,76,77,9000000,28000
